id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
51324936,Rental unit in Boston · ★4.85 · Studio · 1 bed · 1 bath,Allston,42.35305,-71.13796,Entire home/apt,112,2,133,4.78,12,183,52
51329008,Rental unit in Boston · ★4.89 · Studio · 1 bed · 1 bath,Allston,42.35493,-71.13795,Entire home/apt,111,1,121,4.38,12,204,39
51329497,Rental unit in Boston · ★4.80 · 1 bedroom · 1 bed · 1 bath,Allston,42.35297,-71.13949,Entire home/apt,79,32,120,4.37,12,149,48
51346962,Rental unit in Boston · ★4.73 · Studio · 1 bed · 1 bath,South End,42.34286,-71.07921,Entire home/apt,90,1,45,1.57,34,334,5
51347022,Rental unit in Boston · ★4.67 · Studio · 1 bed · 1 bath,South End,42.34284,-71.07856,Entire home/apt,117,1,30,1.09,34,360,7
51347133,Rental unit in Boston · ★4.71 · Studio · 1 bed · 1 bath,South End,42.34153,-71.07868,Entire home/apt,126,2,51,1.87,34,354,15
51375228,Rental unit in Boston · 3 bedrooms · 5 beds · 1 bath,Dorchester,42.30393,-71.07488,Entire home/apt,138,30,0,,27,364,0
51402086,Rental unit in Boston · ★4.25 · 1 bedroom · 1 bed · 1 shared bath,Brighton,42.35929,-71.14198,Private room,85,61,4,0.16,3,269,2
51417227,Rental unit in Boston · ★4.87 · 1 bedroom · 1 bed · 1 bath,Allston,42.35281,-71.13735,Entire home/apt,93,2,137,4.98,12,214,56
51425756,Rental unit in Boston · ★4.0 · 1 bedroom · 1 bed · 1 bath,Bay Village,42.34795,-71.07105,Entire home/apt,76,3,23,0.97,35,362,9
51426626,Rental unit in Boston · ★4.07 · 1 bedroom · 1 bed · 1 bath,Bay Village,42.34887,-71.07058,Private room,52,3,29,1.53,35,288,16
51427362,Rental unit in Boston · ★4.37 · 1 bedroom · 1 bed · 1 bath,South End,42.3473,-71.06916,Entire home/apt,85,3,41,1.48,35,348,6
51536008,Home in Boston · ★4.92 · 1 bedroom · 1 bed · 1.5 shared baths,Dorchester,42.31609,-71.06669,Private room,120,1,112,3.91,3,176,59
51555199,Rental unit in Boston · ★4.83 · Studio · 1 bed · 1 bath,South End,42.34268,-71.07616,Entire home/apt,83,1,130,4.63,68,0,60
51557278,Rental unit in Boston · ★4.79 · Studio · 1 bed · 1 bath,South End,42.34086,-71.07538,Entire home/apt,80,1,100,3.5,68,35,45
51562101,Rental unit in Boston · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,Brighton,42.36095,-71.1414,Private room,65,91,5,0.21,3,170,3
51572681,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,Brighton,42.3477738,-71.1460998,Entire home/apt,190,32,1,0.04,339,336,0
51572775,Rental unit in Boston · Studio · 1 bed · 1 bath,Roxbury,42.3399944,-71.0814304,Entire home/apt,132,32,0,,339,227,0
51572785,Rental unit in Boston · Studio · 1 bed · 1 bath,Roxbury,42.3399944,-71.0814304,Entire home/apt,144,32,0,,339,291,0
51572791,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,Brighton,42.3477738,-71.1460998,Entire home/apt,113,32,0,,339,364,0
51573185,Rental unit in Boston · Studio · 1 bed · 1 bath,Roxbury,42.33999,-71.08143,Entire home/apt,132,32,0,,339,199,0
51595864,Rental unit in Boston · ★4.45 · 1 bedroom · 1 bath,Downtown,42.35478,-71.06326,Entire home/apt,86,3,62,2.54,20,348,25
51621253,Serviced apartment in Boston · ★4.71 · 2 bedrooms · 3 beds · 2 baths,Chinatown,42.352093,-71.060806,Entire home/apt,269,29,14,0.54,3,360,6
51626666,Rental unit in Boston · ★5.0 · 1 bedroom · 1 bed · 1 bath,Brighton,42.33963,-71.15732,Entire home/apt,150,29,4,0.15,25,255,2
51639653,Serviced apartment in Boston · 1 bedroom · 1 bed · 1 bath,Brighton,42.33857,-71.15742,Entire home/apt,150,30,1,0.09,31,255,1
51644354,Home in Boston · ★5.0 · 1 bedroom · 1 bed · 2 shared baths,Allston,42.35887,-71.12972,Private room,68,91,3,0.17,9,306,2
51654389,Rental unit in Boston · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,Brighton,42.35947,-71.14185,Private room,45,61,3,0.12,3,107,1
51695358,Rental unit in Boston · ★4.67 · Studio · 1 bed · 1 bath,South End,42.34226,-71.07859,Entire home/apt,89,1,81,2.93,34,365,52
51709919,Rental unit in Boston · ★4.49 · 1 bedroom · 1 bed · 1.5 shared baths,Roxbury,42.32798,-71.08992,Private room,59,2,36,1.37,52,0,9
51709920,Rental unit in Boston · ★4.24 · 1 bedroom · 1 bed · 1.5 shared baths,Roxbury,42.3262,-71.08948,Private room,59,2,33,1.38,52,357,11
51709928,Rental unit in Boston · ★4.21 · 1 bedroom · 1 bed · 1.5 shared baths,Roxbury,42.3284,-71.08941,Private room,62,2,19,0.75,52,201,11
51711675,Rental unit in Boston · ★4.57 · Studio · 1 bed · 1 bath,Beacon Hill,42.35871,-71.06831,Entire home/apt,110,28,30,1.17,68,39,14
51721946,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,Brighton,42.3477738,-71.1460998,Entire home/apt,190,32,1,0.07,339,335,0
51722040,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,Brighton,42.3477738,-71.1460998,Entire home/apt,115,32,1,0.08,339,365,0
51722050,Rental unit in Brookline · 4 bedrooms · 1 bed · 0 shared baths,Brighton,42.34790246,-71.16001714,Private room,58,91,0,,146,362,0
51731513,Rental unit in Boston · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,Dorchester,42.32251,-71.05736,Private room,55,1,108,3.88,11,167,46
51747209,Serviced apartment in Boston · ★4.68 · 1 bedroom · 1 bed · 1 bath,Downtown,42.35827,-71.05517,Entire home/apt,139,1,144,5.27,71,0,63
51762222,Rental unit in Boston · 6 bedrooms · 1 bed · 0 shared baths,Allston,42.34862,-71.13215,Private room,48,91,0,,146,140,0
51783130,Home in Boston · ★4.71 · 2 bedrooms · 2 beds · 1 bath,Jamaica Plain,42.31255,-71.1031,Entire home/apt,255,29,7,0.27,6,335,1
51804426,Rental unit in Boston · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,Dorchester,42.32272,-71.0554,Private room,55,1,89,3.22,11,0,42
51810948,Rental unit in Boston · 2 bedrooms · 2 beds · 1 bath,North End,42.36745,-71.05434,Entire home/apt,228,32,0,,339,349,0
51812329,Rental unit in Boston · Studio · 1 bed · 1 bath,Back Bay,42.348633,-71.074088,Entire home/apt,210,32,0,,339,230,0
51824163,Rental unit in Boston · 2 bedrooms · 2 beds · 2 baths,Beacon Hill,42.36033,-71.06717,Entire home/apt,135,29,1,0.26,48,98,1
51825748,Home in Boston · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,Jamaica Plain,42.31046623,-71.10191073,Private room,125,91,3,0.11,6,354,1
51827678,Rental unit in Boston · ★4.91 · 3 bedrooms · 3 beds · 1 bath,Dorchester,42.28843,-71.06945,Entire home/apt,190,29,186,7.22,1,0,64
51838132,Rental unit in Boston · Studio · 1 bed · 1 bath,Roxbury,42.3399944,-71.0814304,Entire home/apt,136,32,0,,339,217,0
51846253,Rental unit in Boston · ★4.40 · 1 bedroom · 1 bed · 1 bath,South End,42.34773,-71.07077,Entire home/apt,94,3,43,1.54,15,103,8
51850846,Rental unit in Boston · ★4.55 · 1 bedroom · 1 bed · 1 bath,Jamaica Plain,42.31673,-71.09958,Entire home/apt,105,1,52,3.58,1,0,45
51872976,Rental unit in Boston · Studio · 1 bed · 1 bath,Back Bay,42.348633,-71.074088,Entire home/apt,206,32,0,,339,244,0
51879873,Rental unit in Boston · ★4.71 · Studio · 1 bed · 1 bath,South End,42.34276,-71.07928,Entire home/apt,92,1,51,1.89,34,351,6
51909400,Rental unit in Boston · ★4.87 · 3 bedrooms · 3 beds · 2 baths,Roxbury,42.3229,-71.07775,Entire home/apt,257,29,39,2.63,6,162,31
51944717,Rental unit in Boston · ★4.79 · 4 bedrooms · 6 beds · 1 bath,Dorchester,42.29832,-71.06427,Entire home/apt,327,1,72,2.65,2,177,12
52046024,Rental unit in Boston · 2 bedrooms · 2 beds · 1 bath,South End,42.3418091,-71.0700156,Entire home/apt,118,32,0,,339,365,0
52060181,Loft in Boston · ★4.71 · 1 bedroom · 3 beds · 1 bath,Allston,42.36355,-71.13151,Entire home/apt,115,2,92,3.36,4,160,33
52065756,Condo in Boston · ★4.85 · 2 bedrooms · 3 beds · 1 bath,South Boston,42.34057,-71.05512,Entire home/apt,358,2,85,3.06,2,0,29
52069412,Condo in Boston · ★4.79 · 3 bedrooms · 3 beds · 1 bath,Roslindale,42.2798,-71.1185,Entire home/apt,159,29,38,1.93,13,71,31
52085163,Rental unit in Boston · ★4.03 · 1 bedroom · 1 bed · 1 bath,Downtown,42.3553,-71.06309,Entire home/apt,88,3,78,2.81,2,349,32
52085396,Rental unit in Boston · ★4.33 · 1 bedroom · 2 beds · 1 bath,Downtown,42.35599,-71.06201,Entire home/apt,229,3,12,0.44,2,0,4
52093011,Guest suite in Boston · ★4.79 · 1 bedroom · 1 bed · 1 bath,Jamaica Plain,42.31966,-71.10592,Entire home/apt,98,2,47,2.72,1,0,34
52112631,Condo in Boston · ★4.68 · 3 bedrooms · 4 beds · 1 bath,Allston,42.35041,-71.13014,Entire home/apt,550,29,19,0.7,1,351,6
52113003,Loft in Boston · ★4.98 · 1 bedroom · 2 beds · 1 bath,Downtown,42.35437,-71.06206,Entire home/apt,165,2,127,4.61,1,0,53
52124041,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,Dorchester,42.2719604,-71.0677086,Entire home/apt,144,32,0,,339,338,0
52181213,Home in Boston · 2 bedrooms · 3 beds · 1.5 baths,Charlestown,42.37761,-71.06649,Entire home/apt,385,2,0,,1,277,0
52205576,Condo in Boston · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,Fenway,42.34743,-71.10316,Private room,75,30,6,0.74,2,59,6
52234647,Rental unit in Boston · ★4.63 · 1 bedroom · 1 bed · 1 bath,Fenway,42.34689,-71.1033,Entire home/apt,118,2,93,3.43,68,0,41
52249525,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,South End,42.3376389,-71.0724798,Entire home/apt,191,32,0,,339,242,0
52253773,Rental unit in Boston · ★5.0 · 4 bedrooms · 4 beds · 1 bath,Beacon Hill,42.35899773,-71.06649402,Entire home/apt,116,29,4,0.15,48,120,2
52285741,Rental unit in Boston · ★4.77 · 3 bedrooms · 3 beds · 1 bath,Roxbury,42.3226,-71.09566,Entire home/apt,135,2,96,3.77,1,0,52
52312207,Rental unit in Boston · Studio · 1 bed · 1 bath,Roxbury,42.3399944,-71.0814304,Entire home/apt,136,32,0,,339,221,0
52358493,Rental unit in Boston · 2 bedrooms · 2 beds · 1 bath,North End,42.36745,-71.05434,Entire home/apt,159,32,1,0.06,339,331,0
52358553,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,North End,42.36745,-71.054338,Entire home/apt,136,32,0,,339,320,0
